2013,21,1,Chief Executive’s Office,"The aim is to provide support to the Chief Executive in policy formulation and delivery of pledges made in the Policy Address; to plan and implement arrangements for the Chief Executive’s public and social engagements; to co-ordinate the Government’s media and public relations strategy; and to ensure the efficient management of the Chief Executive’s Office building, the Government House and the Chief Executive’s country residence at Fanling.",71.8,74.2,72.3,72.7
2013,21,2,Executive Council,The aim is to ensure the smooth operation of the Executive Council.,18.4,18.9,20.1,21.8
2013,21,0,total,,90.2,93.1,92.4,94.5
2013,22,1,"Agriculture, Fisheries and Fresh Food Wholesale Markets",The aim is to facilitate agricultural and fisheries production and improve productivity.,200.0,1420.4,1209.9,753.4
2013,22,2,Nature Conservation and Country Parks,"The aim is to conserve flora, fauna and natural habitats; to designate and manage country parks, special areas, marine parks and marine reserves; and to control international trade in endangered species of animals and plants in Hong Kong.",506.8,531.0,531.2,552.1
2013,22,3,"Animal, Plant and Fisheries Regulation and Technical Services","The aim is to safeguard the welfare of animals, and control the diseases in animals and plants through the enforcement of relevant legislation; protect public health; protect and regulate fisheries; and provide technical services.",245.0,260.4,266.9,273.7
2013,22,0,total,,951.8,2211.8,2008.0,1579.2
2013,23,1,Auxiliary Medical Service,"The aim is to augment the existing medical and health services for maintaining the health care and well-being of the territory, especially in times of emergency, having regard to internal security considerations.",66.6,72.0,72.2,75.2
2013,23,0,total,,66.6,72.0,72.2,75.2
2013,24,1,Regularity Audit,The aim is to provide the Legislative Council with an overall assurance that the Government’s financial and accounting transactions and those of funds of a public or quasi-public nature are proper and that they conform to accepted accounting standards.,40.0,41.2,42.0,43.8
2013,24,2,Value for Money Audit,"The aim is to provide the Legislative Council with independent information, advice and assurance about the economy, efficiency and effectiveness with which any bureau/department of the Government, agency, other public body, public office or audited organisation has discharged its functions.",84.8,88.4,92.5,93.6
2013,24,0,total,,124.8,129.6,134.5,137.4
2013,25,1,Monitoring and Advisory Services,"The aim is to provide effective professional and technical advice to the Government and quasi-government organisations and to oversee subvented, joint-venture and entrusted projects.",213.6,213.4,222.1,227.8
2013,25,2,Facilities Upkeep,The aim is to provide efficient and cost-effective professional and project management services for the maintenance and refurbishment of buildings and facilities.,840.4,861.5,875.2,908.2
2013,25,3,Facilities Development,"The aim is to provide efficient, cost-effective and timely architectural and associated professional and project management services for the design and construction of buildings and related facilities.",562.7,569.0,586.7,598.0
2013,25,0,total,,1616.7,1643.9,1684.0,1734.0
2013,26,1,Trade Statistics,"The aim is to process import/export declarations and cargo manifests, to safeguard the Government’s revenue from import/export declaration charges, and to produce and analyse trade statistics.",142.3,157.1,147.1,165.4
2013,26,2,Social Statistics,"The aim is to produce and analyse demographic, labour force and social statistics, and to maintain a register of quarters as a sampling frame for conducting household surveys.",342.7,98.7,85.6,79.2
2013,26,3,National Accounts and Balance of Payments Statistics,"The aim is to produce and analyse Gross Domestic Product (GDP), Gross National Income (GNI) (formerly known as Gross National Product (GNP)), BoP and related statistics in a timely and accurate manner, and to assist in the preparation of Government’s forecasts of various economic aggregates.",70.6,78.8,76.5,82.9
2013,26,4,General Statistical Services,The aim is to provide statistical consultancy services and to maintain quality standards in statistical work.,31.4,35.9,32.2,37.3
2013,26,5,Price/Industry/Service Statistics,"The aim is to produce and analyse price, industry and service statistics.",122.5,133.7,131.3,145.6
2013,26,6,Labour Statistics,"The aim is to produce and analyse statistics on employment, vacancies, wage, labour earnings and manpower requirements and to maintain a Central Register of Establishments (CRE) as a sampling frame for conducting establishment surveys.",66.8,72.2,73.7,80.3
2013,26,0,total,,776.3,576.4,546.4,590.7
2013,27,1,Civil Aid Service,"The aim is to provide an effective auxiliary force to augment the Government’s regular emergency services in emergency situations, to provide civic services to government departments and outside agencies, and to provide young people with the opportunity to develop self-confidence and civic-mindfulness through participation in the Civil Aid Service (CAS) Cadet Corps.",81.6,88.4,88.9,96.3
2013,27,0,total,,81.6,88.4,88.9,96.3
2013,28,1,Flight Standards,"The aim is to set and enforce flight and airworthiness standards in compliance with international civil aviation safety requirements, and to keep the relevant legislation and operational requirements up-to-date.",83.4,92.6,93.0,108.7
2013,28,2,Airport Standards,"The aim is to set and enforce aerodrome safety and aviation security standards, and to keep up-to-date the related legislation.",34.5,36.3,35.6,36.9
2013,28,3,Air Traffic Management,"The aim is to maintain a safe, orderly and expeditious flow of air traffic within the Hong Kong Flight Information Region (HKFIR) through the provision of quality air navigation services, aeronautical information services and schedule co-ordination and slot allocation services, and to co-ordinate search and rescue operations in the event of aircraft accidents.",345.5,368.4,376.8,368.8
2013,28,4,Air Traffic Engineering and Standards,"The aim is to maintain the air navigation services systems up to the highest standard, to ensure the smooth and timely completion of engineering projects within budget, to set and enforce air navigation services standards in compliance with international civil aviation safety requirements and to regulate the air navigation services and operations.",265.7,285.2,291.5,303.1
2013,28,5,Air Services,The aim is to implement air services arrangements and aviation policy to enable air services to be operated to meet demand and to promote Hong Kong as an international and regional aviation centre.,36.5,36.2,35.3,34.0
2013,28,6,Air Passenger Departure Tax Administration,The aim is to ensure effective administration of the Air Passenger Departure Tax (APDT) collection pursuant to the Air Passenger Departure Tax Ordinance (Cap. 140).,1.5,1.6,1.6,2.3
2013,28,0,total,,767.1,820.3,833.8,853.8
2013,30,1,Prison Management,The aim is to provide safe and humane custody of all persons committed or sentenced by the courts and persons detained under the Immigration Ordinance (Cap. 115).,2119.1,2210.8,2255.9,2336.2
2013,30,2,Re-integration,The aim is to facilitate the re-integration of persons in custody into the community as law-abiding citizens.,864.5,848.1,868.2,899.7
2013,30,0,total,,2983.6,3058.9,3124.1,3235.9
2013,31,1,Control and Enforcement,"The aims are to prevent and detect the smuggling of contraband, including narcotics, firearms, strategic goods, dutiable commodities, articles which infringe copyright or trade descriptions, and any other articles the importation or exportation of which is prohibited by law, through actions at control points and regular land and maritime patrols within the territory of Hong Kong.",1840.7,2042.2,2010.4,2287.9
2013,31,2,Anti-narcotics Investigation,"The aims are to suppress illicit trafficking in and abuse of dangerous drugs, to combat money laundering and to prevent diversion of controlled chemicals for the illicit manufacture of dangerous drugs.",159.7,156.6,160.8,167.0
2013,31,3,Intellectual Property Rights and Consumer Protection,"The aims are to prevent and detect copyright and trade mark infringement; to collaborate with trade mark and copyright owners, relevant organisations and law enforcement agencies in or outside Hong Kong in order to combat trade mark counterfeiting and copyright piracy; and to enforce consumer protection legislation relating to weights and measures, toys and children’s products safety, consumer goods safety, trade descriptions and trade practices.",253.0,275.0,276.1,284.3
2013,31,4,Revenue Protection and Collection,The aims are to collect and protect revenue from dutiable commodities stipulated in the Dutiable Commodities Ordinance (Cap. 109) and to assess the provisional taxable values of motor vehicles under the Motor Vehicles (First Registration Tax) Ordinance (Cap. 330).,160.2,151.8,165.7,189.8
2013,31,5,Trade Controls,The aims are to secure and maintain the integrity and credibility of the various trade controls and import and export control systems operated in Hong Kong in fulfilment of international obligations and for public health and safety reasons; as well as to collect import and export declarations and declaration charges under the Import and Export (Registration) Regulations (Cap. 60E) and clothing levies under the Industrial Training (Clothing Industry) Ordinance (Cap. 318).,136.2,153.6,175.0,178.7
2013,31,0,total,,2549.8,2779.2,2788.0,3107.7
2013,33,1,Tourism and Recreational Development,"The aim is to plan, design and implement the tourism and recreational developments in Aberdeen and Lei Yue Mun, and carry out the site formation for Kai Tak Cruise Terminal development, as well as to provide engineering input to the Ocean Park redevelopment project in the Southern District.",38.7,41.0,40.1,43.2
2013,33,2,Port and Marine Facilities,"The aim is to implement the port development programme; design, construct and maintain public marine facilities, including seawalls, mooring areas and piers; maintain adequate water depth in navigation channels in the harbour; and provide advice and services to other departments on matters relating to marine works.",181.6,187.7,188.1,199.9
2013,33,3,Provision of Land and Infrastructure,The aim is to provide land and supporting infrastructure for development.,313.0,331.3,336.4,358.3
2013,33,4,Slope Safety and Geotechnical Standards,"The aim is to exercise geotechnical control on private and public developments, register slopes, implement the Landslip Prevention and Mitigation Programme (LPMitP), provide landslide emergency service, investigate serious landslides, set geotechnical standards, undertake public education and advise private slope owners on slope safety.",300.5,307.9,316.3,323.9
2013,33,5,Greening and Technical Services,"The aim is to develop greening master plans and implement other greening measures to improve the environment of Hong Kong, provide ground investigation, construction materials testing, geological surveys and other geotechnical services, and manage Hong Kong’s marine fill resources and mud disposal capacity.",110.4,113.2,115.4,119.2
2013,33,6,"Supervision of Mining, Quarrying and Explosives","The aim is to supervise contracts for quarrying in Hong Kong, enforce the Mining Ordinance (Cap. 285), enforce the Dangerous Goods Ordinance (Cap. 295) in connection with the use of explosives, and safeguard the public from the misuse of explosives.",58.0,61.4,66.4,71.8
2013,33,7,Management of Construction and Demolition Materials,The aim is to ensure good management and utilisation of inert construction and demolition materials.,759.8,833.4,721.9,881.2
2013,33,8,Advice on Development Proposals,The aim is to advise on development proposals.,30.0,30.1,31.0,31.8
2013,33,0,total,,1792.0,1906.0,1815.6,2029.3
2013,37,1,Statutory Functions,The aim is to enforce legislation to ensure a high standard of public health protection.,551.8,559.5,566.2,640.5
2013,37,2,Disease Prevention,"The aim is to prevent and control diseases, and reduce preventable diseases and premature deaths.",1836.1,2415.9,2235.2,2490.6
2013,37,3,Health Promotion,The aim is to promote health and increase health awareness in the community and among specific target groups.,273.2,363.5,360.3,357.2
2013,37,4,Curative Care,The aim is to provide specialised outpatient treatment for various illnesses.,694.4,754.7,726.5,792.7
2013,37,5,Rehabilitation,The aim is to provide comprehensive assessment for children with developmental problems and disabilities.,84.9,88.8,91.0,100.2
2013,37,6,Treatment of Drug Abusers,The aim is to contribute to Government’s overall strategy for the control of drug abuse.,142.1,137.0,142.4,143.9
2013,37,7,Medical and Dental Treatment for Civil Servants,The aim is to provide medical and dental services for serving and retired civil servants and other eligible persons.,803.9,974.4,932.0,1047.3
2013,37,8,Personnel Management of Civil Servants Working in Hospital Authority,"The aim is to discharge the personnel management responsibility for the civil servants working in the Hospital Authority (HA) to maintain their morale and efficiency to facilitate the smooth operation of all public hospitals in a mixed staff situation, and to look after the interests of these civil servants.",7.1,7.4,7.6,7.9
2013,37,0,total,,4393.5,5301.2,5061.2,5580.3
2013,39,1,Stormwater Drainage,"The aim is to investigate, plan, design, construct, operate and maintain stormwater drainage, flood relief channels and other flood control installations; to set and ensure compliance with stormwater drainage standards; and to minimise flooding risks.",418.6,434.9,454.7,455.0
