2012,1,Hydrocarbon oils,010,,,,,,,,3026665,3101799,3144190,3271239
2012,1,Alcoholic beverages,020,,,,,,,,298345,289558,344032,350374
2012,1,Other alcohol products,030,,,,,,,,5132,9535,5132,5132
2012,1,Tobacco,050,,,,,,,,4220944,4396976,4704900,4704900
2012,1,Total,,,,,,,,,7551086,7797868,8198254,8331645
2012,2,General Rates,030,,,,,,,,8955850,11011000,9693000,10471000
2012,2,Total,,,,,,,,,8955850,11011000,9693000,10471000
2012,3,Bets and sweeps tax,010,,,,,,,,14759060,14240000,15714000,15827000
2012,3,Interest tax,030,010,Earnings and profits tax,,,,,,169,,,
2012,3,Profits tax,030,020,Earnings and profits tax,,,,,,93183050,96900000,118000000,105580000
2012,3,Personal assessment,030,030,Earnings and profits tax,,,,,,3921584,3830000,4200000,4700000
2012,3,Property tax,030,040,Earnings and profits tax,,,,,,1647134,1650000,1900000,2000000
2012,3,Salaries tax,030,050,Earnings and profits tax,,,,,,44254738,43220000,52000000,49340000
2012,3,Sub-total,030,050,Earnings and profits tax,,,,,,143006675,145600000,176100000,161620000
2012,3,Estate duty,050,,Earnings and profits tax,,,,,,212843,50000,90000,70000
2012,3,Stamp duties,070,,Earnings and profits tax,,,,,,51005062,40000000,42000000,37000000
2012,3,Air passenger departure tax,080,,Earnings and profits tax,,,,,,1813594,1879118,1928670,1987833
2012,3,Total,,,,,,,,,210797234,201769118,235832670,216504833
2012,4,First registration,010,,,,,,,,6657392,7493607,7544495,7360111
2012,4,Total,,,,,,,,,6657392,7493607,7544495,7360111
2012,5,Court fines and statutory penalties,010,,,,,,,,528982,500155,479807,448855
2012,5,Forfeitures,020,,,,,,,,180822,34389,1621336,81940
2012,5,Fixed penalty system (Traffic Contraventions),030,,,,,,,,248915,246781,258640,266393
2012,5,Fixed penalty system (Criminal Proceedings),040,,,,,,,,198460,202660,191822,197577
2012,5,Payments by civil servants,050,,,,,,,,1868,1694,2929,2362
2012,5,Fixed penalty system (Motor Vehicle Idling),060,,,,,,,,,,16,1152
2012,5,Total,,,,,,,,,1159047,985679,2554550,998279
2012,6,Quarries and mining,020,,,,,,,,49781,55200,58040,54700
2012,6,Bridges and tunnels,030,,,,,,,,1372790,1316877,1372202,1369465
2012,6,Petrol filling,070,,,,,,,,1767,1789,1871,1920
2012,6,Parking,100,,,,,,,,361429,352920,383174,393324
2012,6,Vehicle examination,170,,,,,,,,40516,39394,39658,39658
2012,6,Slaughterhouse concessions,201,,,,,,,,31114,30372,28179,28179
