2014,1,Hydrocarbon oils,010,,,,,,,,3273439,3436958,3421886,3571825
2014,1,Alcoholic beverages,020,,,,,,,,383269,390109,420257,429925
2014,1,Other alcohol products,030,,,,,,,,7236,7921,7236,7236
2014,1,Tobacco,050,,,,,,,,5312566,4960806,5312566,5312566
2014,1,Total,,,,,,,,,8976510,8795794,9161945,9321552
2014,2,General Rates,030,,,,,,,,11204421,12971000,14716000,20586000
2014,2,Total,,,,,,,,,11204421,12971000,14716000,20586000
2014,3,Bets and sweeps tax,010,,,,,,,,16564757,16443490,18099687,18937680
2014,3,Profits tax,030,020,Earnings and profits tax,,,,,,125638364,131000000,119500000,117570000
2014,3,Personal assessment,030,030,Earnings and profits tax,,,,,,4078198,4900000,4400000,4400000
2014,3,Property tax,030,040,Earnings and profits tax,,,,,,2258216,2500000,2500000,2700000
2014,3,Salaries tax,030,050,Earnings and profits tax,,,,,,50466999,51000000,55000000,52860000
2014,3,Sub-total,030,050,Earnings and profits tax,,,,,,182441777,189400000,181400000,177530000
2014,3,Estate duty,050,,Earnings and profits tax,,,,,,137644,70000,390000,70000
2014,3,Stamp duties,070,,Earnings and profits tax,,,,,,42879744,40000000,37700000,43800000
2014,3,Air passenger departure tax,080,,Earnings and profits tax,,,,,,2029188,2062480,2255782,2263208
2014,3,Total,,,,,,,,,244053110,247975970,239845469,242600888
2014,4,First registration,010,,,,,,,,7466089,7651649,7780294,8127405
2014,4,Total,,,,,,,,,7466089,7651649,7780294,8127405
2014,5,Court fines and statutory penalties,010,,,,,,,,554802,464665,545499,479360
2014,5,Forfeitures,020,,,,,,,,119350,64587,713142,71153
2014,5,Fixed penalty system (Traffic Contraventions),030,,,,,,,,307095,304641,342634,352900
2014,5,Fixed penalty system (Criminal Proceedings),040,,,,,,,,224117,221081,215033,217183
2014,5,Payments by civil servants,050,,,,,,,,3107,2490,3725,2615
2014,5,Fixed penalty system (Motor Vehicle Idling),060,,,,,,,,3,2,25,23
2014,5,Total,,,,,,,,,1208474,1057466,1820058,1123234
2014,6,Quarries and mining,020,,,,,,,,62151,53012,59972,36475
2014,6,Bridges and tunnels,030,,,,,,,,1377370,1416433,1444836,1458854
2014,6,Petrol filling,070,,,,,,,,1920,1887,2027,2048
2014,6,Parking,100,,,,,,,,443333,411108,425012,430485
2014,6,Vehicle examination,170,,,,,,,,39725,32359,32893,32893
2014,6,Slaughterhouse concessions,201,,,,,,,,32861,31417,30157,28380
2014,6,Other royalties and concessions,202,,,,,,,,778905,1586256,2380826,877264
2014,6,Total,,,,,,,,,2736265,3532472,4375723,2866399
2014,7,"Government land licences, government rents (other than those charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515) ) and rents from short term tenancies",010,,,,,,,,2041862,1776103,1876430,1832165
2014,7,Rents from government quarters,020,,,,,,,,804756,783469,810414,802229
2014,7,Rents from government properties,030,,,,,,,,1294138,1348360,1599490,1494279
2014,7,Investment income and interest,040,,,,,,,,20023974,19365000,19644266,14110000
2014,7,Returns on equity investments in statutory agencies/corporations,060,,,,,,,,7270260,7270260,7903300,7603300
2014,7,Recovery from Housing Authority under current financial arrangement,080,,,,,,,,229972,67106,93228,199929
2014,7,Government rents charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515),090,,,,,,,,7856697,7915000,8659000,8730000
2014,7,Total,,,,,,,,,39521659,38525298,40586128,34771902
2014,9,Repayments of loans and advances,010,,,,,,,,336,,67,
2014,9,Pension contributions,020,,,,,,,,10276,9684,9298,8498
2014,9,Recovery of salaries and staff on-costs,030,,,,,,,,2523633,2608233,2781162,2894767
2014,9,Light and fuel in government buildings,040,,,,,,,,26408,26499,26133,26653
2014,9,Recovery of overpayments and losses,050,,,,,,,,658625,595655,821266,589264
2014,9,Transfers from Funds,080,,,,,,,,500000,1000000,1000000,2000000
2014,9,Other receipts,090,,,,,,,,15852587,5227920,2892587,978157
2014,9,Payments in lieu of profits tax,110,001,Payments made by Trading Funds,,,,,,181053,123149,180985,116597
2014,9,Payments for “insurance” premium,110,002,Payments made by Trading Funds,,,,,,3244,3280,3280,3280
2014,9,Reimbursements by trading funds arising from policy on “insurance”,110,003,Payments made by Trading Funds,,,,,,338,256,268,249
2014,9,Total,,003,,,,,,,19756500,9594676,7715046,6617465
2014,10,Berthing fee,040,010,Marine ferry terminals,,,,,,46630,46758,46174,46174
2014,10,Embarkation fee,040,020,Marine ferry terminals,,,,,,154235,159910,160812,165255
2014,10,Others,040,030,Marine ferry terminals,,,,,,7525,7089,6943,6811
2014,10,Sub-total,040,030,Marine ferry terminals,,,,,,208390,213757,213929,218240
2014,10,Chargeable water,070,010,Waterworks,,,,,,2518630,2573000,2570000,2598000
2014,10,Fees and licences,070,020,Waterworks,,,,,,15412,15700,15800,17000
2014,10,Others,070,040,Waterworks,,,,,,13557,14200,16820,16560
2014,10,Sub-total,070,040,Waterworks,,,,,,2547599,2602900,2602620,2631560
2014,10,Sewage charge,080,010,Sewage services,,,,,,721858,797000,802800,887700
2014,10,Trade effluent surcharge,080,020,Sewage services,,,,,,206420,205000,212900,216900
2014,10,Others,080,030,Sewage services,,,,,,2591,3310,2980,2887
2014,10,Sub-total,080,030,Sewage services,,,,,,930869,1005310,1018680,1107487
2014,10,Total,,030,,,,,,,3686858,3821967,3835229,3957287
2014,11,Markets,022,010,"Agriculture, Fisheries and Conservation Department",,,,,,75710,76284,81083,84978
2014,11,Agricultural services and products,022,020,"Agriculture, Fisheries and Conservation Department",,,,,,366,395,262,262
2014,11,Others,022,030,"Agriculture, Fisheries and Conservation Department",,,,,,34859,32093,31894,32496
2014,11,Sub-total,022,030,"Agriculture, Fisheries and Conservation Department",,,,,,110935,108772,113239,117736
2014,11,Audit Commission,024,,"Agriculture, Fisheries and Conservation Department",,,,,,9959,10006,9934,10059
2014,11,Services to trading funds and subvented projects,025,025,Architectural Services Department,,,,,,1739,2147,2609,2609
2014,11,Others,025,030,Architectural Services Department,,,,,,475,542,880,642
2014,11,Sub-total,025,030,Architectural Services Department,,,,,,2214,2689,3489,3251
2014,11,Census and Statistics Department,026,,Architectural Services Department,,,,,,9233,11951,11340,11169
2014,11,Civil Aid Service,027,,Architectural Services Department,,,,,,267,197,204,172
2014,11,Services to the Airport Authority,028,010,Civil Aviation Department,,,,,,735067,767426,754880,862987
2014,11,Aircraft en route navigation charges,028,020,Civil Aviation Department,,,,,,238283,272670,267615,290836
2014,11,Licences,028,030,Civil Aviation Department,,,,,,74777,87680,81987,85977
2014,11,Others,028,040,Civil Aviation Department,,,,,,2864,2618,2500,2287
2014,11,Sub-total,028,040,Civil Aviation Department,,,,,,1050991,1130394,1106982,1242087
2014,11,Recovery other than cost of raw materials for correctional services industries,030,010,Correctional Services Department,,,,,,371,212,121,121
2014,11,Laundry charges,030,015,Correctional Services Department,,,,,,3183,3152,3279,3279
2014,11,Others,030,020,Correctional Services Department,,,,,,236,238,228,228
2014,11,Sub-total,030,020,Correctional Services Department,,,,,,3790,3602,3628,3628
2014,11,Import and export declarations,031,010,Customs and Excise Department,,,,,,1138203,882909,878977,879014
2014,11,Bonded warehouse supervision charges,031,020,Customs and Excise Department,,,,,,412,416,493,546
2014,11,Clothing industry training levy service charges,031,030,Customs and Excise Department,,,,,,63,63,64,64
2014,11,Denaturing fees,031,040,Customs and Excise Department,,,,,,395,450,251,251
2014,11,Import and export licences,031,071,Customs and Excise Department,,,,,,2319,2352,2735,2735
2014,11,Warehouse licences,031,072,Customs and Excise Department,,,,,,731,665,757,731
2014,11,Miscellaneous licences,031,080,Customs and Excise Department,,,,,,1562,1540,1722,1672
2014,11,Storage fees,031,090,Customs and Excise Department,,,,,,6,1,1,1
2014,11,Others,031,100,Customs and Excise Department,,,,,,47802,23724,11360,13542
2014,11,Sub-total,031,100,Customs and Excise Department,,,,,,1191493,912120,896360,898556
2014,11,Hong Kong companies registration fees,032,010,Companies Registry,,,,,,37250,8356,10529,11266
2014,11,Works executed on private account,033,010,Civil Engineering and Development Department,,,,,,408,41859,285853,35800
2014,11,"Dangerous goods, mining and prospecting licences",033,011,Civil Engineering and Development Department,,,,,,3793,3577,3577,3045
2014,11,Explosives permit and storage fees,033,012,Civil Engineering and Development Department,,,,,,38675,27292,43548,28072
2014,11,Mud disposal,033,013,Civil Engineering and Development Department,,,,,,6259,6768,397,4269
2014,11,Disposal of construction waste at public fill reception facilities,033,014,Civil Engineering and Development Department,,,,,,365839,260000,348300,348300
2014,11,Others,033,030,Civil Engineering and Development Department,,,,,,4732,596,714,594
2014,11,Sub-total,033,030,Civil Engineering and Development Department,,,,,,419706,340092,682389,420080
2014,11,"Dangerous drugs, pharmacy, poisons and other licences",037,010,Department of Health,,,,,,22931,23856,24375,24297
2014,11,Out-patient charges,037,030,Department of Health,,,,,,32612,35015,34189,34416
2014,11,Dental charges,037,040,Department of Health,,,,,,7618,7600,7812,7902
2014,11,"Medical and health charges other than hospital, out-patient and dental charges",037,050,Department of Health,,,,,,29648,30919,29338,29320
2014,11,Registrations and certificates of medical and supplementary medical professionals,037,060,Department of Health,,,,,,27086,29556,30509,30395
2014,11,Others,037,070,Department of Health,,,,,,682,793,617,612
2014,11,Sub-total,037,070,Department of Health,,,,,,120577,127739,126840,126942
2014,11,Works executed on private account,039,010,Drainage Services Department,,,,,,96,290,241,5
2014,11,Others,039,030,Drainage Services Department,,,,,,1104,798,1404,1141
2014,11,Sub-total,039,030,Drainage Services Department,,,,,,1200,1088,1645,1146
2014,11,Services to Electrical and Mechanical Services Trading Fund,042,025,Electrical and Mechanical Services Department,,,,,,37038,34441,38334,40443
2014,11,"Registration, certification and permit fees",042,027,Electrical and Mechanical Services Department,,,,,,42327,55376,56450,50406
2014,11,Others,042,030,Electrical and Mechanical Services Department,,,,,,13,15,13298,16272
2014,11,Sub-total,042,030,Electrical and Mechanical Services Department,,,,,,79378,89832,108082,107121
2014,11,Chemical waste charging scheme,044,010,Environmental Protection Department,,,,,,19605,16100,16800,16800
2014,11,MARPOL waste charging scheme,044,015,Environmental Protection Department,,,,,,5189,4800,5200,5200
2014,11,Waste disposal charges,044,017,Environmental Protection Department,,,,,,116613,121200,116200,116200
2014,11,Licence and permit fees,044,020,Environmental Protection Department,,,,,,12053,11359,12721,12448
2014,11,Producer Responsibility Scheme,044,025,Environmental Protection Department,,,,,,29773,29400,31500,15700
2014,11,Others,044,030,Environmental Protection Department,,,,,,390,273,285,315
2014,11,Sub-total,044,030,Environmental Protection Department,,,,,,183623,183132,182706,166663
2014,11,Dangerous goods licences,045,010,Fire Services Department,,,,,,10454,10077,10428,10428
2014,11,Official certificates and fire reports,045,012,Fire Services Department,,,,,,6624,6549,6832,6832
2014,11,Others,045,020,Fire Services Department,,,,,,1774,984,1295,1295
2014,11,Sub-total,045,020,Fire Services Department,,,,,,18852,17610,18555,18555
2014,11,Government Secretariat: Office of the Government Chief Information Officer,047,,Fire Services Department,,,,,,7963,8014,8258,8185
2014,11,Services to the Hospital Authority,048,015,Government Laboratory,,,,,,7580,8315,8315,8600
2014,11,Others,048,020,Government Laboratory,,,,,,5978,6011,6011,6457
2014,11,Sub-total,048,020,Government Laboratory,,,,,,13558,14326,14326,15057
2014,11,Licences and permits,049,010,Food and Environmental Hygiene Department,,,,,,273650,242730,240754,230590
2014,11,Meat inspection,049,020,Food and Environmental Hygiene Department,,,,,,21880,21906,22356,22356
2014,11,Cemeteries and crematoria,049,030,Food and Environmental Hygiene Department,,,,,,88685,127138,95809,93929
2014,11,Others,049,040,Food and Environmental Hygiene Department,,,,,,3267,2280,2601,3454
2014,11,Sub-total,049,040,Food and Environmental Hygiene Department,,,,,,387482,394054,361520,350329
2014,11,Management and air conditioning charges,051,010,Government Property Agency,,,,,,30343,65264,102829,66395
2014,11,Others,051,020,Government Property Agency,,,,,,6236,4858,6453,5811
2014,11,Sub-total,051,020,Government Property Agency,,,,,,36579,70122,109282,72206
2014,11,Government Secretariat: Commerce and Economic Development Bureau (Communications and Technology Branch),055,,Government Property Agency,,,,,,1097,1147,1287,1300
2014,11,Printing services,059,010,Government Logistics Department,,,,,,236003,224486,223353,215378
2014,11,Advertisements,059,020,Government Logistics Department,,,,,,19494,20000,19888,19200
2014,11,Government transport,059,030,Government Logistics Department,,,,,,21299,22332,22997,23921
2014,11,Others,059,040,Government Logistics Department,,,,,,13516,10355,12516,11220
2014,11,Sub-total,059,040,Government Logistics Department,,,,,,290312,277173,278754,269719
2014,11,Works executed on private account,060,010,Highways Department,,,,,,140,250,700,400
2014,11,Excavation permits,060,020,Highways Department,,,,,,162724,147205,147860,147860
2014,11,Others,060,030,Highways Department,,,,,,1584,1600,1650,1650
2014,11,Sub-total,060,030,Highways Department,,,,,,164448,149055,150210,149910
2014,11,Guesthouse licences,063,015,Home Affairs Department,,,,,,7777,7257,7930,9056
2014,11,Clubhouse certificates,063,016,Home Affairs Department,,,,,,13877,14894,14392,14494
2014,11,Karaoke establishments licences and permits,063,020,Home Affairs Department,,,,,,35,44,34,38
2014,11,Entertainment licences,063,021,Home Affairs Department,,,,,,20096,17307,16738,16270
2014,11,Others,063,030,Home Affairs Department,,,,,,2945,2803,2647,2645
2014,11,Sub-total,063,030,Home Affairs Department,,,,,,44730,42305,41741,42503
