2009,1,Hydrocarbon oils,010,,,,,,,,3359729,3131250,2767049,2549239
2009,1,Alcoholic beverages,020,,,,,,,,687198,190160,202334,203514
2009,1,Other alcohol products,030,,,,,,,,7471,6000,7500,7500
2009,1,Tobacco,050,,,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,3005127,2871286,3024325,3821558
2009,1,Total,,,,,,,,,7059525,6198696,6001208,6581811
2009,2,General Rates,030,,,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,9494544,7333000,7240000,13899000
2009,2,Total,,,,,,,,,9494544,7333000,7240000,13899000
2009,3,Bets and sweeps tax,010,,,,,,,,13048425,13128000,12500000,12388000
2009,3,Profits tax,030,020,Earnings and profits tax,,,,,,91422706,83270000,103200000,71000000
2009,3,Personal assessment,030,030,Earnings and profits tax,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,3586574,2600000,2200000,3200000
2009,3,Property tax,030,040,Earnings and profits tax,,,,,,1240605,620000,800000,1200000
2009,3,Salaries tax,030,050,Earnings and profits tax,,,,,,37479476,26380000,36000000,35190000
2009,3,Sub-total,030,050,Earnings and profits tax,,,,,,133729361,112870000,142200000,110590000
2009,3,Estate duty,050,,Earnings and profits tax,,,,,,353353,85000,200000,80000
2009,3,Hotel accommodation tax,060,,Earnings and profits tax,,,,,,450401,115000,238000,
2009,3,Stamp duties,070,,Earnings and profits tax,,,,,,51549090,35000000,33000000,25000000
2009,3,Air passenger departure tax,080,,Earnings and profits tax,,,,,,1670811,1752517,1657405,1593588
2009,3,Total,,,,,,,,,200801441,162950517,189795405,149651588
2009,4,First registration,010,,,,,,,,5552874,5570100,4823695,4080832
2009,4,Total,,,,,,,,,5552874,5570100,4823695,4080832
2009,5,Court fines and statutory penalties,010,,,,,,,,479030,478453,460543,513573
2009,5,Forfeitures,020,,,,,,,,44667,39936,43139,30670
2009,5,Fixed penalty system (Traffic Contraventions) .,030,,,,,,,,236861,243004,231775,231775
2009,5,Fixed penalty system (Criminal Proceedings),040,,,,,,,,233381,249769,216419,234165
2009,5,Payments by civil servants,050,,,,,,,,3029,2315,2726,2316
2009,5,Total,,,,,,,,,996968,1013477,954602,1012499
2009,6,Quarries and mining,020,,,,,,,,45264,44600,45463,50078
2009,6,Bridges and tunnels,030,,,,,,,,17537,95345,64925,259125
2009,6,Petrol filling,070,,,,,,,,3133,1408,1565,1664
2009,6,Television broadcasting,090,,,,,,,,,1237,,
2009,6,Parking,100,,,,,,,,323494,318270,296922,245356
2009,6,Vehicle examination,170,,,,,,,,53420,56453,54288,54288
2009,6,Slaughterhouse concessions,201,,,,,,,,16500,16500,16500,16500
2009,6,Other royalties and concessions,202,,,,,,,,403922,337101,1873910,377330
2009,6,Total,,,,,,,,,863270,870914,2353573,1004341
2009,7,"Government land licences, government rents (other than those charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515) ) and rents from short term tenancies",010,,,,,,† After Budget revenue measures.,,1584264,1523404,1609251,1619728
2009,7,Rents from government quarters,020,,,,,,,,718565,690990,743720,744171
2009,7,Rents from government properties,030,,,,,,,,1073450,1061875,1136372,1085662
2009,7,Investment income and interest,040,,,,,,,,12004965,22947417,23379232,16298000
2009,7,Returns on equity investments in statutory agencies/corporations,060,,,,,,,,2364586,2593718,2805961,2866300
2009,7,Recovery from Housing Authority under current financial arrangement,080,,,,,,,,4521676,482918,470997,969978
2009,7,Government rents charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515),090,,,,,,,,5810879,5939000,5905000,5844000
2009,7,Total,,,,,,,,,28078385,35239322,36050533,29427839
2009,9,Repayments of loans and advances,010,,,,,,,,3390,1022,1751,508
2009,9,Pension contributions,020,,,,,,,,16995,14732,15739,14234
2009,9,Recovery of salaries and staff on-costs,030,,,,,,,,2122131,2179873,2264134,2310999
2009,9,Light and fuel in government buildings,040,,,,,,,,24813,23118,22934,23620
2009,9,Recovery of overpayments and losses,050,,,,,,,,452339,346455,842867,426898
2009,9,Transfers from Funds,080,,,,,,,,31600000,21700000,1800000,600000
2009,9,Other receipts,090,,,,,,,,3564522,4394106,3328440,1819890
2009,9,Payments in lieu of profits tax,110,001,Payments made by Trading Funds,,,,,,205898,132282,198993,79630
2009,9,Payments for “insurance” premium,110,002,Payments made by Trading Funds,,,,,,2930,3029,3029,3107
2009,9,Reimbursements by trading funds arising from policy on “insurance”,110,003,Payments made by Trading Funds,,,,,,163,195,847,847
2009,9,Total,,003,,,,,,,37993181,28794812,8478734,5279733
2009,10,Berthing fee,040,010,Marine ferry terminals,,,,,,43022,58137,51102,66773
2009,10,Embarkation fee,040,020,Marine ferry terminals,,,,,,174714,141723,149623,158786
