2008,1,Hydrocarbon oils,010,,,,,,,,3319793,3304238,3372169,3131250
2008,1,Alcoholic beverages,020,,,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,926815,657139,703140,190160
2008,1,Other alcohol products,030,,,,,,,,6004,4838,6000,6000
2008,1,Tobacco,050,,,,,,,,2770357,2322581,2810804,2871286
2008,1,Total,,,,,,,,,7022969,6288796,6892113,6198696
2008,2,General Rates,030,,,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,15467273,11552000,9273000,7333000
2008,2,Total,,,,,,,,,15467273,11552000,9273000,7333000
2008,3,Bets and sweeps tax,010,,,,,,,,12047359,12210000,13031000,13128000
2008,3,Profits tax,030,020,Earnings and profits tax,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,71919044,77500000,89000000,83270000
2008,3,Personal assessment,030,030,Earnings and profits tax,,,,,,3565621,3200000,3400000,2600000
2008,3,Property tax,030,040,Earnings and profits tax,,,,,,1247373,1300000,1250000,620000
2008,3,Salaries tax,030,050,Earnings and profits tax,,,,,,38585592,29980000,37000000,26380000
2008,3,Sub-total,030,050,Earnings and profits tax,,,,,,115317630,111980000,130650000,112870000
2008,3,Estate duty,050,,Earnings and profits tax,,,,,,777671,200000,230000,85000
2008,3,Hotel accommodation tax,060,,Earnings and profits tax,,,,,,384248,400000,440000,115000
2008,3,Stamp duties,070,,Earnings and profits tax,,,,,,25076549,22650000,50000000,35000000
2008,3,Air passenger departure tax,080,,Earnings and profits tax,,,,,,1531179,1632610,1655451,1752517
2008,3,Total,,,,,,,,,155134636,149072610,196006451,162950517
2008,4,First registration,010,,,,,,† After Budget revenue measures.,,4334659,4464610,5320737,5570100
2008,4,Total,,,,,,,,,4334659,4464610,5320737,5570100
2008,5,Court fines and statutory penalties,010,,,,,,,,526340,525727,483296,478453
2008,5,Forfeitures,020,,,,,,,,45454,40644,39989,39936
2008,5,Fixed penalty system (Traffic Contraventions) .,030,,,,,,,,220021,217179,231212,243004
2008,5,Fixed penalty system (Criminal Proceedings),040,,,,,,,,213756,206954,231054,249769
2008,5,Payments by civil servants,050,,,,,,,,3127,2549,2393,2315
2008,5,Total,,,,,,,,,1008698,993053,987944,1013477
2008,6,Quarries and mining,020,,,,,,,,29841,32700,44700,44600
2008,6,Bridges and tunnels,030,,,,,,,,17337,66009,17368,95345
2008,6,Petrol filling,070,,,,,,,,5844,5706,3219,1408
2008,6,Television broadcasting,090,,,,,,,,,,,1237
2008,6,Parking,100,,,,,,,,315251,308592,319448,318270
2008,6,Vehicle examination,170,,,,,,,,51933,55330,56453,56453
2008,6,Slaughterhouse concessions,201,,,,,,,,16500,16500,16500,16500
2008,6,Other royalties and concessions,202,,,,,,,,173258,296494,404010,337101
2008,6,Total,,,,,,,,,609964,781331,861698,870914
2008,7,"Government land licences, government rents (other than those charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515) ) and rents from short term tenancies",010,,,,,,,,1636714,1471418,1495916,1523404
2008,7,Rents from government quarters,020,,,,,,,,673091,661250,711528,690990
2008,7,Rents from government properties,030,,,,,,,,1066980,1012215,1041160,1061875
2008,7,Investment income and interest,040,,,,,,,,10560124,10041270,11965930,22947417
2008,7,Returns on equity investments in statutory agencies/corporations,060,,,,,,,,2159174,2224160,2364586,2593718
2008,7,Recovery from Housing Authority under current financial arrangement,080,,,,,,,,75891,136153,4521677,482918
2008,7,Government rents charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515),090,,,,,,,,5744319,5213000,5365400,5939000
2008,7,Total,,,,,,,,,21916293,20759466,27466197,35239322
2008,9,Repayments of loans and advances,010,,,,,,,,117176,2579,3434,1022
2008,9,Pension contributions,020,,,,,,,,16786,15077,16149,14732
2008,9,Recovery of salaries and staff on-costs,030,,,,,,,,2015852,2054834,2138502,2179873
2008,9,Light and fuel in government buildings,040,,,,,,,,24738,25222,24567,23118
2008,9,Recovery of overpayments and losses,050,,,,,,,,561426,378936,476481,346455
2008,9,Transfers from Funds,080,,,,,,,,2100000,31800000,31600000,21700000
2008,9,Other receipts,090,,,,,,,,3465596,1997365,3564796,4394106
2008,9,Payments in lieu of profits tax,110,001,Payments made by Trading Funds,,,,,,117446,77034,230062,132282
2008,9,Payments for “insurance” premium,110,002,Payments made by Trading Funds,,,,,,2856,2927,2930,3029
2008,9,Reimbursements by trading funds arising from policy on “insurance”,110,003,Payments made by Trading Funds,,,,,,302,90,195,195
2008,9,Total,,003,,,,,,,8422178,36354064,38057116,28794812
2008,10,Berthing fee,040,010,Marine ferry terminals,,,,,,40038,44368,42984,58137
2008,10,Embarkation fee,040,020,Marine ferry terminals,,,,,,172447,150811,166043,141723
2008,10,Others,040,030,Marine ferry terminals,,,,,,5683,5825,6613,6805
2008,10,Sub-total,040,030,Marine ferry terminals,,,,,,218168,201004,215640,206665
2008,10,Chargeable water,070,010,Waterworks,,,,,,2407087,2521000,2462000,2528000
