2007,1,Hydrocarbon oils,010,,,,,,,,3362012,3432631,3289817,3304238
2007,1,Alcoholic beverages,020,,,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,879763,951197,954024,657139
2007,1,Other alcohol products,030,,,,,,,,5974,5247,4838,4838
2007,1,Tobacco,050,,,,,,,,2176617,2213028,2535115,2322581
2007,1,Total,,,,,,,,,6424366,6602103,6783794,6288796
2007,2,General Rates,030,,,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,14146318,15361000,15407000,11552000
2007,2,Total,,,,,,,,,14146318,15361000,15407000,11552000
2007,3,Bets and sweeps tax,010,,,,,,,,11938060,11932500,12100000,12210000
2007,3,Profits tax,030,020,Earnings and profits tax,,,,,,69796508,70700000,74100000,77500000
2007,3,Personal assessment,030,030,Earnings and profits tax,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,3193951,3170000,3500000,3200000
2007,3,Property tax,030,040,Earnings and profits tax,,,,,,1267061,1300000,1250000,1300000
2007,3,Salaries tax,030,050,Earnings and profits tax,,,,,,37493868,37050000,38400000,29980000
2007,3,Sub-total,030,050,Earnings and profits tax,,,,,,111751388,112220000,117250000,111980000
2007,3,Estate duty,050,,Earnings and profits tax,,,,,,1675744,160000,800000,200000
2007,3,Hotel accommodation tax,060,,Earnings and profits tax,,,,,,310025,340000,380000,400000
2007,3,Stamp duties,070,,Earnings and profits tax,,,,,,17867196,14800000,23400000,22650000
2007,3,Air passenger departure tax,080,,Earnings and profits tax,,,,,,1439870,1543313,1539672,1632610
2007,3,Total,,,,,,,,,144982283,140995813,155469672,149072610
2007,4,First registration,010,,,,,,,,3894940,4016927,4386710,4464610
2007,4,Total,,,,,,,,,3894940,4016927,4386710,4464610
2007,5,Court fines and statutory penalties,010,,,,,,,,534315,502729,525727,525727
2007,5,Forfeitures,020,,,,,,,,56137,47336,42428,40644
2007,5,Fixed penalty system (Traffic Contraventions) .,030,,,,,,,,195920,190655,206837,217179
2007,5,Fixed penalty system (Criminal Proceedings),040,,,,,,,,198711,198921,202896,206954
2007,5,Payments by civil servants,050,,,,,,,,2786,2301,3225,2549
2007,5,Total,,,,,,,,,987869,941942,981113,993053
2007,6,Quarries and mining,020,,,,,,,,25193,23300,21400,32700
2007,6,Bridges and tunnels,030,,,,,,,,15934,15799,17239,66009
2007,6,Petrol filling,070,,,,,,,,6367,5817,5826,5706
2007,6,Taxi concessions,080,,,,,,,,,10000,,
2007,6,Television broadcasting,090,,,,,,,,,,1237,
2007,6,Parking,100,,,,,,,,319550,318688,311280,308592
2007,6,Vehicle examination,170,,,,,,,,58577,63130,55330,55330
2007,6,Slaughterhouse concessions,201,,,,,,,,16500,16500,16500,16500
2007,6,Other royalties and concessions,202,,,,,,,,173938,174529,173008,296494
2007,6,Total,,,,,,,,,616059,627763,601820,781331
2007,7,"Government land licences, government rents (other than those charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515) ) and rents from short term tenancies",010,,,,,,,,1531116,1361230,1422972,1471418
2007,7,Rents from government quarters,020,,,,,,,,645043,579054,658211,661250
2007,7,Rents from government properties,030,,,,,,,,980150,958177,1030698,1012215
2007,7,Investment income and interest,040,,,,,,,,3856944,6408722,10666991,10041270
2007,7,Returns on equity investments in statutory agencies/corporations,060,,,,,,,,1931717,1841116,2077174,2224160
2007,7,Recovery from Housing Authority under current financial arrangement,080,,,,,,,,29301,77970,75891,136153
2007,7,Government rents charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515),090,,,,,,,,4726586,4856000,5795000,5213000
2007,7,Total,,,,,,,,,13700857,16082269,21726937,20759466
2007,9,Repayments of loans and advances,010,,,,,,,,198326,119101,117293,2579
2007,9,Pension contributions,020,,,,,,,,18314,16411,16718,15077
2007,9,Recovery of salaries and staff on-costs,030,,,,,,,,2112710,2096897,2057131,2054834
2007,9,Light and fuel in government buildings,040,,,,,,,,18951,24422,25013,25222
2007,9,Recovery of overpayments and losses,050,,,,,,,,542005,394682,445632,378936
2007,9,Transfers from Funds,080,,,,,,,,,6900000,2100000,31800000
2007,9,Other receipts,090,,,,,,,,2756079,3643317,3824659,1997365
2007,9,Payments in lieu of profits tax,110,001,Payments made by Trading Funds,,,,,,95875,64490,110157,77034
2007,9,Payments for “insurance” premium,110,002,Payments made by Trading Funds,,,,,,2801,2856,2856,2927
2007,9,Reimbursements by trading funds arising from policy on “insurance”,110,003,Payments made by Trading Funds,,,,,,112,163,90,90
2007,9,Total,,003,,,,,,,5745173,13262339,8699549,36354064
2007,10,Berthing fee,040,010,Marine ferry terminals,,,,,,40712,45921,39673,44368
2007,10,Embarkation fee,040,020,Marine ferry terminals,,,,,,182895,162405,169025,150811
2007,10,Others,040,030,Marine ferry terminals,,,,,,5616,5596,5623,5825
2007,10,Sub-total,040,030,Marine ferry terminals,,,,,,229223,213922,214321,201004
2007,10,Chargeable water,070,010,Waterworks,,,,,,2446433,2520000,2460000,2521000
2007,10,Fees and licences,070,020,Waterworks,,,,,,10992,11000,11000,11000
2007,10,Others,070,040,Waterworks,,,,,,12060,24200,24200,15500
2007,10,Sub-total,070,040,Waterworks,,,,,,2469485,2555200,2495200,2547500
2007,10,Sewage charge,080,010,Sewage services,,,,,,468365,484600,466000,510375
2007,10,Trade effluent surcharge,080,020,Sewage services,,,,,,204524,208400,200900,190075
2007,10,Others,080,030,Sewage services,,,,,,2303,2292,2180,2180
2007,10,Sub-total,080,030,Sewage services,,,,,,675192,695292,669080,702630
2007,10,Total,,030,,,,,,,3373900,3464414,3378601,3451134
2007,11,Markets,022,010,"Agriculture, Fisheries and Conservation Department",,,,,,61784,65001,64603,61849
2007,11,Agricultural services and products,022,020,"Agriculture, Fisheries and Conservation Department",,,,,,223,167,235,180
2007,11,Others,022,030,"Agriculture, Fisheries and Conservation Department",,,,,,19928,29015,44587,41629
2007,11,Sub-total,022,030,"Agriculture, Fisheries and Conservation Department",,,,,,81935,94183,109425,103658
2007,11,Audit Commission,024,,"Agriculture, Fisheries and Conservation Department",,,,,,3078,2909,2945,3063
2007,11,Services to trading funds and subvented projects,025,025,Architectural Services Department,,,,,,7218,4776,4781,3390
2007,11,Others,025,030,Architectural Services Department,,,,,,2243,737,665,686
2007,11,Sub-total,025,030,Architectural Services Department,,,,,,9461,5513,5446,4076
2007,11,Census and Statistics Department,026,,Architectural Services Department,,,,,,11033,11924,13088,11581
